province,city,price,living_space,bathroom_number,bedroom_number,built_year,year,Bangkok,NakhonPathom,Nonthaburi,PathumThani,SamutPrakarn,SamutSakhon
Bangkok,Bang Rak,10000000,47,1,1,2012,10,1,0,0,0,0,0
Bangkok,Bang Rak,10000000,51,1,1,2012,10,1,0,0,0,0,0
Bangkok,Bang Rak,10000000,62,1,1,2015,7,1,0,0,0,0,0
Bangkok,Bang Rak,10000000,30,1,1,2016,6,1,0,0,0,0,0
Bangkok,Bang Rak,10000000,43,1,1,2016,6,1,0,0,0,0,0
Bangkok,Bang Rak,10000000,45.5,1,2,2016,6,1,0,0,0,0,0
Bangkok,Bang Rak,10000000,45,1,1,2020,2,1,0,0,0,0,0
Bangkok,Bang Rak,10000000,46,1,1,2020,2,1,0,0,0,0,0
Bangkok,Bang Rak,10000000,46,1,1,2020,2,1,0,0,0,0,0
Bangkok,Bang Rak,10000000,46,1,1,2020,2,1,0,0,0,0,0
Bangkok,Bang Rak,10000000,40,1,1,2022,0,1,0,0,0,0,0
Bangkok,Chatuchak,10000000,34,1,1,2020,2,1,0,0,0,0,0
Bangkok,Din Daeng,10000000,52,1,2,2018,4,1,0,0,0,0,0
Bangkok,Huai Khwang,10000000,47,1,1,2015,7,1,0,0,0,0,0
Bangkok,Huai Khwang,10000000,58.15,1,2,2015,7,1,0,0,0,0,0
Bangkok,Huai Khwang,10000000,77,1,2,2015,7,1,0,0,0,0,0
Bangkok,Khlong San,10000000,55,1,1,2012,10,1,0,0,0,0,0
Bangkok,Khlong San,10000000,62.72,1,1,2012,10,1,0,0,0,0,0
Bangkok,Khlong San,10000000,69,1,1,2012,10,1,0,0,0,0,0
Bangkok,Khlong San,10000000,69,1,1,2012,10,1,0,0,0,0,0
Bangkok,Khlong San,10000000,69,1,1,2012,10,1,0,0,0,0,0
Bangkok,Khlong Toei,10000000,50,1,1,2012,10,1,0,0,0,0,0
Bangkok,Khlong Toei,10000000,50,1,1,2012,10,1,0,0,0,0,0
Bangkok,Khlong Toei,10000000,50,1,1,2012,10,1,0,0,0,0,0
Bangkok,Khlong Toei,10000000,52,1,1,2012,10,1,0,0,0,0,0
Bangkok,Khlong Toei,10000000,52,1,1,2012,10,1,0,0,0,0,0
Bangkok,Khlong Toei,10000000,55,1,1,2012,10,1,0,0,0,0,0
Bangkok,Khlong Toei,10000000,55,1,1,2012,10,1,0,0,0,0,0
Bangkok,Khlong Toei,10000000,57,1,1,2012,10,1,0,0,0,0,0
Bangkok,Khlong Toei,10000000,55,1,2,2012,10,1,0,0,0,0,0
Bangkok,Khlong Toei,10000000,56,1,2,2012,10,1,0,0,0,0,0
Bangkok,Khlong Toei,10000000,56,1,2,2012,10,1,0,0,0,0,0
Bangkok,Khlong Toei,10000000,56,1,2,2012,10,1,0,0,0,0,0
Bangkok,Khlong Toei,10000000,58,1,2,2012,10,1,0,0,0,0,0
Bangkok,Khlong Toei,10000000,52,1,1,2013,9,1,0,0,0,0,0
Bangkok,Khlong Toei,10000000,60,1,1,2013,9,1,0,0,0,0,0
Bangkok,Khlong Toei,10000000,60,1,1,2013,9,1,0,0,0,0,0
Bangkok,Khlong Toei,10000000,60,1,1,2013,9,1,0,0,0,0,0
Bangkok,Khlong Toei,10000000,62,1,1,2013,9,1,0,0,0,0,0
Bangkok,Khlong Toei,10000000,80,1,1,2013,9,1,0,0,0,0,0
Bangkok,Khlong Toei,10000000,80,1,1,2013,9,1,0,0,0,0,0
Bangkok,Khlong Toei,10000000,80,1,1,2013,9,1,0,0,0,0,0
Bangkok,Khlong Toei,10000000,65,1,2,2013,9,1,0,0,0,0,0
Bangkok,Khlong Toei,10000000,35,1,1,2014,8,1,0,0,0,0,0
Bangkok,Khlong Toei,10000000,52,1,1,2014,8,1,0,0,0,0,0
Bangkok,Khlong Toei,10000000,53,1,1,2014,8,1,0,0,0,0,0
Bangkok,Khlong Toei,10000000,55,1,2,2014,8,1,0,0,0,0,0
Bangkok,Khlong Toei,10000000,48.11,1,1,2016,6,1,0,0,0,0,0
Bangkok,Khlong Toei,10000000,50,1,1,2017,5,1,0,0,0,0,0
Bangkok,Khlong Toei,10000000,58,1,1,2018,4,1,0,0,0,0,0
Bangkok,Khlong Toei,10000000,44,1,1,2020,2,1,0,0,0,0,0
